Title;|=*?*=|ProjectId;|=*?*=|MainProjectId;|=*?*=|ShortDescription;|=*?*=|Outcome;|=*?*=|DeveloperName;|=*?*=|DemoLink;|=*?*=|GitHubLink;|=*?*=|ShowItem;|=*?*=|ShowProgressBar;|=*?*=|PriorityCalculation;|=*?*=|HasDemo;|=*?*=|PriorityNumber;|=*?*=|Impact;|=*?*=|Urgency;|=*?*=|EaseOffSuccess;|=*?*=|PersonalPreference;|=*?*=|Progress;|=*?*=|TotalHours;|=*?*=|TheoreticalHours;|=*?*=|PracticalHours;|=*?*=|GeneralHours;|=*?*=|DateCreated;|=*?*=|DateDoing;|=*?*=|DateDone;|=*?*=|ProjectStatus;|=*?*=|Challenges;|=*?*=|FutureAdditions;|=*?*=|TimeUnitsPutIn;|=*?*=|SubProjectIds
.NET Core on Linux;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|9975f6fd-ffcb-419f-accf-2e4065fc80c9;|=*?*=|.NET Core installeren in Ubuntu.;|=*?*=|.Net Core applicaties draaien op een Linux server.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9553;|=*?*=|7;|=*?*=|8;|=*?*=|4;|=*?*=|2;|=*?*=|50;|=*?*=|27;|=*?*=|0;|=*?*=|26;|=*?*=|1;|=*?*=|01/11/2021 12:20:32 PM;|=*?*=|17/01/0001 12:00:00 AM;|=*?*=|17/01/0001 12:00:00 AM;|=*?*=|1;|=*?*=|1|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|10|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|12|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|2|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|3|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hosting multiple .net web apps|=*&*=||=*!*=|https://www.syncfusion.com/blogs/post/hosting-multiple-asp-net-core-apps-in-ubuntu-linux-server-using-apache.aspx|=*$*=|Installeren van .net 5.0 in Ubuntu|=*&*=||=*!*=|https://docs.microsoft.com/en-us/dotnet/core/install/linux-ubuntu#2004-|=*$*=|Setting up asp.net web apps on Ubuntu with Apache|=*&*=||=*!*=|https://ollie10.medium.com/how-to-host-an-asp-net-core-3-1-application-on-linux-ubuntu-20-04-with-apache-as-reverse-proxy-34bf2fb18502|=*$*=|z|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|1|=*&*=||=*!*=|1|=*$*=|10|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|11|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|2|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|22|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|3|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|4|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|5|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|6|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|7|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|8|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|9|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|abcdef|=*&*=||=*!*=|No runway suggestion yet.|=*$*=|bcdef|=*&*=||=*!*=|No runway suggestion yet.;|=*?*=|fee96311-9e08-4aa9-aaae-697d498982d2|=*!*=|be5d6b38-f6bb-48a2-9c4b-62db02b50f3c|=*!*=|fe86c1f4-b9b2-41be-95a5-366f04c30969|=*!*=|029f238b-05e9-4384-bf7a-586e663817ae|=*!*=|17bff7d0-e69c-4f93-a313-59ee9b14f27f|=*!*=|466147b7-6783-4fb8-9a6e-a9c58a17b3f8|=*!*=|f19d2cc9-d273-401d-9488-0b3ddcbfc43b|=*!*=|6b713e49-807b-45a4-ad6a-3b00631d9ec5|=*!*=|0d009cd0-c80f-43f1-9981-ec226c8dda35|=*!*=|b9303896-2b49-4d3e-871f-367035ee5aca|=*!*=|74927750-ba64-47f1-ae8d-1723e892cb6f;|=*?*=|
1. C# Getting started;|=*?*=|e6d10b9d-7a2c-4c9a-b55b-390dd851d717;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|Een start module waarin de basis wordt uigelegt van VisualStudio en programmeren.;|=*?*=| Na deze module kan je zelf een basis project maken met VisualStudio.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|10;|=*?*=|0;|=*?*=|10;|=*?*=|0;|=*?*=|02/10/2020 12:25:06 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|Basis principen voor programmeren|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Een project starten in Visual Studio|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Key shortcuts voor Visual Studio|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Visual studio aanpassen|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|9fc5abce-0af9-4944-85c0-366d465e5d4d;|=*?*=|
10. C# Career development;|=*?*=|4dbe9806-6a03-4167-9a84-abd1e8eb6778;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|Een module die tips en trics mee geeft voor mijn carriere als developer.;|=*?*=|Hiermee kan ik een basis leggen voor mijn toekomst als developer.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|10;|=*?*=|10;|=*?*=|0;|=*?*=|0;|=*?*=|05/08/2021 01:30:25 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|Hoe groei ik door als developer|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hoe kan ik anderen helpen|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hoe stel ik vragen op forums|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hoe verhoog ik mijn efficientie|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Wat plaats ik in mijn portfolio|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|b80e68cd-9e0e-4229-baa2-26007c2f3d1e;|=*?*=|
2. C# Common syntax;|=*?*=|24bfed1e-cbc3-4795-b189-c4228566293b;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|In deze module wordt geleerdt hoe dingen geschreven moeten worden binnen C#.;|=*?*=|In deze modelue is er een basis gelegd met variabelen en data collecties.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|30;|=*?*=|0;|=*?*=|30;|=*?*=|0;|=*?*=|05/10/2020 12:40:41 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|Arrays|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Condities|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Data type conversie|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Dictionaries|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Do/While loop|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|For each loop|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|For loop|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Lists|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Methods/Functions|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Variabelen|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|f218e4c6-a3ef-4d87-bc76-a58678c005ea;|=*?*=|
3. C# Debugging;|=*?*=|d83527c9-f90b-40a3-9beb-5e9b941416ac;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|Er wordt begonnen met het debuggen van kleine applicaties.;|=*?*=| Nu kan ik aan de hand van beakpoints en de sessie variabelen in de gaten houden wat er in de applicatie gebeurd.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|15;|=*?*=|0;|=*?*=|15;|=*?*=|0;|=*?*=|17/10/2020 12:56:06 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|Het gebruik van Breakpoints|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hoe ga ik om met Exceptions|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|57de127e-e1ad-4fe0-8dc0-d7ade017c053;|=*?*=|
4. C# Object Oriented Programming 1;|=*?*=|fd1bbd3c-a88b-4d23-96c7-b02357fdb1fa;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|Hier wordt een basis gelegd voor het programmeren met Objecten.;|=*?*=| Kunnen werken met de kern van Object Oriented Programming.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|50;|=*?*=|0;|=*?*=|50;|=*?*=|0;|=*?*=|23/10/2020 01:05:21 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|Instantiated Classes|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Libraries|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Namespaces|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Propperties|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Static Classes|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|81ef11a7-3d86-4c10-86e3-5c60d332c93e;|=*?*=|
5. C# Battleship Mini project;|=*?*=|ae2af3e2-669b-43cc-b25e-1de3357fba33;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|In deze module ga je de opgedane kennis samen brengen door een klein project.;|=*?*=|Na het maken van dit project heb ik voor het eerst een applicatie opgeleverd en gezien hoe alles samen werkt.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|150;|=*?*=|0;|=*?*=|150;|=*?*=|0;|=*?*=|18/11/2020 01:11:00 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|Hoe bouw ik de verbeteringen in een bestaande applicatie|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hoe bouw ik een applicatie|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hoe debug ik een applicatie|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hoe plan ik een applicatie van te voren|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Hoe verbeter ik de applicatie|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|59a980d5-6da0-444b-b96d-74bfc35e3e99;|=*?*=|
6. C# Object Oriented Programming 2;|=*?*=|2bcd4b21-cf7f-4b47-b448-2492b01dd513;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=| Hier wordt door gegaan met uitleggen wat er nog meer komt kijken bij Object Oriented Programming.;|=*?*=|Hier heb ik geleerd hoe om te gaan met bijvoorbeeld Interfaces, Generics, en Extension Methods.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|20;|=*?*=|0;|=*?*=|20;|=*?*=|0;|=*?*=|27/01/2021 01:15:26 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|Abstract classes|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Acces modifiers|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Events|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Extension methods|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Generics|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Inheritance|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Interfaces|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Method overloading|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Method overriding|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|1546e5e9-fcf6-4f1f-bf42-1335794110e2;|=*?*=|
7. C# Common Project Types;|=*?*=|70ac46a1-1adb-4d89-9c37-7c35d352c030;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|Hier worden een aantal veel gebruikte applicatie typen geleerd hoe het werkt.;|=*?*=| Hier in heb ik een zelfde applicatie in vijf verschillende project typen gemaakt.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|45;|=*?*=|0;|=*?*=|45;|=*?*=|0;|=*?*=|05/02/2021 01:19:19 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|ASP .Net Core API|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|ASP .Net Core MVC|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|ASP .Net Core Razor Pages|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Class libraries|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Unit testing|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|WinForm|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|WPF Core|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|3e3f4a2d-e3e2-4247-8031-b102150ca59a;|=*?*=|
8. C# Data Access;|=*?*=|49a1f6f1-f03b-4869-9267-56cdd2432ace;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|In deze module gaat het over verschillende manieren van data opslaan zoals Sql en NoSql.;|=*?*=|Na deze module heb ik op vier verschillende manieren data opgeslagen en verbinding gelegd met de data bron.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|100;|=*?*=|225;|=*?*=|0;|=*?*=|225;|=*?*=|0;|=*?*=|19/03/2021 01:23:09 PM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|01/01/0001 12:00:00 AM;|=*?*=|2;|=*?*=|Entity Framework|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Linq / Lambdas|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|MongoDB|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|MySQL|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|SQL Server |=*&*=||=*!*=|No solution suggestion yet.|=*$*=|SQLite|=*&*=||=*!*=|No solution suggestion yet.|=*$*=|Text files|=*&*=||=*!*=|No solution suggestion yet.;|=*?*=|;|=*?*=|89b7b9b2-a8e0-423e-ab0e-c263c0010ff5;|=*?*=|
