ProjectTitle;|=*?*=|TimeUnitId;|=*?*=|HoursPutIn;|=*?*=|Classification;|=*?*=|ProjectId;|=*?*=|TimeStamp;|=*?*=|
.NET Core on Linux;|=*?*=|74927750-ba64-47f1-ae8d-1723e892cb6f;|=*?*=|1;|=*?*=|2;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|17/11/2021 07:05:59 PM
Samba folder sharing;|=*?*=|71fdfe21-4974-409f-ae7f-6aebf9ab5978;|=*?*=|1;|=*?*=|1;|=*?*=|f3ce09fa-5988-4325-942f-93c946d46c78;|=*?*=|12/11/2021 12:30:31 PM
.NET Core on Linux;|=*?*=|b9303896-2b49-4d3e-871f-367035ee5aca;|=*?*=|2;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|12/11/2021 12:30:19 PM
Samba folder sharing;|=*?*=|410f18e2-0c9b-4284-a6a4-6d3e859fdc6e;|=*?*=|4;|=*?*=|1;|=*?*=|f3ce09fa-5988-4325-942f-93c946d46c78;|=*?*=|11/11/2021 06:01:41 PM
Progress Application Backend MVP;|=*?*=|d87f720e-3dea-4f28-9aa4-a2ae89b36892;|=*?*=|2;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|11/11/2021 12:43:00 PM
.NET Core on Linux;|=*?*=|0d009cd0-c80f-43f1-9981-ec226c8dda35;|=*?*=|2;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|10/11/2021 05:51:37 PM
Progress Application Backend MVP;|=*?*=|d98ee4fa-d98d-4f49-bce3-1c24695f3030;|=*?*=|2;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|10/11/2021 03:57:09 PM
Apache http server;|=*?*=|da0c7987-b38d-4f2a-988b-c24dcd3914be;|=*?*=|1;|=*?*=|1;|=*?*=|ea1f3a03-9b33-4295-945d-a2f3354ca1e8;|=*?*=|10/11/2021 12:31:48 PM
Progress Application Backend MVP;|=*?*=|dca4ab18-39be-461b-8ff6-9a33214203e7;|=*?*=|1;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|09/11/2021 09:12:45 PM
.NET Core on Linux;|=*?*=|6b713e49-807b-45a4-ad6a-3b00631d9ec5;|=*?*=|4;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|09/11/2021 05:44:21 PM
Ubuntu;|=*?*=|f8f7ae4e-0577-4d68-8e9b-ba766dfcf7e0;|=*?*=|2;|=*?*=|1;|=*?*=|9975f6fd-ffcb-419f-accf-2e4065fc80c9;|=*?*=|09/11/2021 05:43:59 PM
Ubuntu;|=*?*=|0c553ddb-6119-4d88-98a1-b16df89425ff;|=*?*=|1;|=*?*=|1;|=*?*=|9975f6fd-ffcb-419f-accf-2e4065fc80c9;|=*?*=|09/11/2021 11:21:09 AM
.NET Core on Linux;|=*?*=|f19d2cc9-d273-401d-9488-0b3ddcbfc43b;|=*?*=|3;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|08/11/2021 05:09:10 PM
.NET Core on Linux;|=*?*=|466147b7-6783-4fb8-9a6e-a9c58a17b3f8;|=*?*=|2;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|08/11/2021 12:49:39 PM
.NET Core on Linux;|=*?*=|17bff7d0-e69c-4f93-a313-59ee9b14f27f;|=*?*=|3;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|05/11/2021 05:29:01 PM
Ubuntu;|=*?*=|832462e2-9783-40da-b309-fba811e726f9;|=*?*=|2;|=*?*=|1;|=*?*=|9975f6fd-ffcb-419f-accf-2e4065fc80c9;|=*?*=|05/11/2021 12:36:26 PM
Ubuntu;|=*?*=|78661925-b0f3-4cc4-9477-a16b66c36498;|=*?*=|4;|=*?*=|2;|=*?*=|9975f6fd-ffcb-419f-accf-2e4065fc80c9;|=*?*=|04/11/2021 05:34:46 PM
.NET Core on Linux;|=*?*=|029f238b-05e9-4384-bf7a-586e663817ae;|=*?*=|2;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|04/11/2021 12:32:10 PM
.NET Core on Linux;|=*?*=|fe86c1f4-b9b2-41be-95a5-366f04c30969;|=*?*=|2;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|03/11/2021 09:30:07 PM
.NET Core on Linux;|=*?*=|be5d6b38-f6bb-48a2-9c4b-62db02b50f3c;|=*?*=|3;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|03/11/2021 05:22:11 PM
.NET Core on Linux;|=*?*=|fee96311-9e08-4aa9-aaae-697d498982d2;|=*?*=|4;|=*?*=|1;|=*?*=|a1bea6d3-8b3b-4181-b853-e7c1e22e5fcb;|=*?*=|02/11/2021 05:35:14 PM
Apache http server;|=*?*=|ed9ec64d-afa1-4a43-accd-5f3bdd38f436;|=*?*=|2;|=*?*=|1;|=*?*=|ea1f3a03-9b33-4295-945d-a2f3354ca1e8;|=*?*=|02/11/2021 12:26:06 PM
Apache http server;|=*?*=|fe724d0d-6b7e-49d9-a2c0-7df625c6dd5c;|=*?*=|4;|=*?*=|1;|=*?*=|ea1f3a03-9b33-4295-945d-a2f3354ca1e8;|=*?*=|01/11/2021 05:30:37 PM
