Title;|=*?*=|ProjectId;|=*?*=|MainProjectId;|=*?*=|ShortDescription;|=*?*=|Outcome;|=*?*=|DeveloperName;|=*?*=|DemoLink;|=*?*=|GitHubLink;|=*?*=|ShowItem;|=*?*=|ShowProgressBar;|=*?*=|PriorityCalculation;|=*?*=|HasDemo;|=*?*=|PriorityNumber;|=*?*=|Impact;|=*?*=|Urgency;|=*?*=|EaseOffSuccess;|=*?*=|PersonalPreference;|=*?*=|Progress;|=*?*=|TotalHours;|=*?*=|TheoreticalHours;|=*?*=|PracticalHours;|=*?*=|GeneralHours;|=*?*=|DateCreated;|=*?*=|DateDoing;|=*?*=|DateDone;|=*?*=|ProjectStatus;|=*?*=|Challenges;|=*?*=|FutureAdditions;|=*?*=|TimeUnitsPutIn;|=*?*=|SubProjectIds
Agile Scrum;|=*?*=|d05b4980-10f5-43fb-bcd2-c70d19cab038;|=*?*=|4548ea05-efb3-46e8-a153-169d7f7fca06;|=*?*=|Een cursus Agile Scrum om op examen niveau te komen.;|=*?*=|Het afronden van het vak met een voldoende en het halen van een PSM1 Certificaat bij Scrum.org.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|8321;|=*?*=|7;|=*?*=|4;|=*?*=|10;|=*?*=|6;|=*?*=|100;|=*?*=|35;|=*?*=|35;|=*?*=|0;|=*?*=|0;|=*?*=|04/10/2021 14:33:33;|=*?*=|19/10/2021 15:50:48;|=*?*=|19/10/2021 15:51:32;|=*?*=|2;|=*?*=|;|=*?*=|;|=*?*=|22d04ce9-03d1-43e7-be24-e979a974abec;|=*?*=|
ASP.Net Core (Getting started);|=*?*=|f3e763c0-2a6f-4994-8583-758007f395a2;|=*?*=|6cecbbc3-d1c1-43b5-ac0b-4ba4b28fc634;|=*?*=|Het krijgen van ervaring en kennis voor het kiezen van het juiste ASP.Net Core Project.;|=*?*=|Een beter inzicht krijgen in de voor en na delen van de .Net Core projecten;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9021;|=*?*=|7;|=*?*=|5;|=*?*=|7;|=*?*=|4;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|19/10/2021 10:38:02;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
BecomingAProffesionalDeveloper;|=*?*=|0320a8ab-eda2-4c07-963d-a14e21859f21;|=*?*=|00000000-0000-0000-0000-000000000000;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|False;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|347;|=*?*=|180;|=*?*=|161;|=*?*=|6;|=*?*=|04/10/2021 14:32:29;|=*?*=|04/10/2021 14:35:18;|=*?*=|04/10/2021 14:35:01;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|539dc9b5-617d-4fe6-8b58-d7b4dfb0d9b2;|=*?*=|8d631d32-421e-4733-980a-48e05dc1a874|=*!*=|a84d7ed0-0595-4fde-a4b7-7c4c3729ebcc|=*!*=|29921224-2e01-4068-b8e3-d9778a387a39|=*!*=|ee4dce22-b090-4c47-b4ca-3b8f215f61fe
C# projecten;|=*?*=|8283f3c2-424f-4b3c-b094-67c41d4337fa;|=*?*=|8d631d32-421e-4733-980a-48e05dc1a874;|=*?*=|Projecten die met behulp van C# en visual studio tot stand zijn gekomen.;|=*?*=|Het weergeven van mijn kennis en ervaring.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|6501;|=*?*=|10;|=*?*=|10;|=*?*=|5;|=*?*=|7;|=*?*=|0;|=*?*=|155;|=*?*=|0;|=*?*=|155;|=*?*=|0;|=*?*=|05/10/2021 10:18:06;|=*?*=|05/10/2021 17:42:02;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|42fe23b1-5969-4e47-b878-450b6265bda7
Contributies;|=*?*=|29921224-2e01-4068-b8e3-d9778a387a39;|=*?*=|0320a8ab-eda2-4c07-963d-a14e21859f21;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|07/10/2021 17:59:03;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Database Devops (From start to finish);|=*?*=|f91bd736-fd3f-48f9-9fff-390e7945a208;|=*?*=|710984e4-0e8e-4484-ab30-f9453f415ff1;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|False;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9989;|=*?*=|3;|=*?*=|2;|=*?*=|2;|=*?*=|1;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|19/10/2021 10:43:18;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Foundation in Webdevelopment;|=*?*=|89c13c66-cf68-4827-880a-50e001abfa6f;|=*?*=|6cecbbc3-d1c1-43b5-ac0b-4ba4b28fc634;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|19/10/2021 10:46:42;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Fundamentals C#;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa;|=*?*=|6cecbbc3-d1c1-43b5-ac0b-4ba4b28fc634;|=*?*=|Een cursus waar alle fundamentele dingen van programmeren en ook C# uitgelegd worden.;|=*?*=|Het leren van de basis principes van programmeren en wennen aan strongly typed programmeer talen zoals C#.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|5001;|=*?*=|10;|=*?*=|10;|=*?*=|5;|=*?*=|10;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|04/10/2021 14:45:22;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Global knowledge;|=*?*=|0fc48ffd-82d6-4f6b-9196-4acb3c7d5c7f;|=*?*=|a84d7ed0-0595-4fde-a4b7-7c4c3729ebcc;|=*?*=|Opleider voor IT professionals.;|=*?*=|Het instappen de IT en ontdekken wat ik wil gaan doen binnen de IT.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|6001;|=*?*=|10;|=*?*=|10;|=*?*=|4;|=*?*=|10;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|04/10/2021 14:44:58;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|c76356b7-1381-4f6a-a7db-cc2759457443|=*!*=|b4acbdc1-00c1-4bd4-b1d6-12e7a07a2e02|=*!*=|85980512-a049-4d58-944b-bd0891653909
Laravel;|=*?*=|1f7dd766-c5f4-48c7-82b0-7483516887bc;|=*?*=|2a82ae6d-9160-4c1e-96b3-2cadcbab8c19;|=*?*=|Laravel is een framework voor PHP.;|=*?*=|Het leren werken met het Laravel framework.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|50;|=*?*=|2;|=*?*=|2;|=*?*=|0;|=*?*=|0;|=*?*=|04/10/2021 14:35:18;|=*?*=|04/10/2021 14:42:09;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|22fa70e9-a1b7-4566-b1c3-f95369dd687c;|=*?*=|
